Kepler_ID,RA,Dec,Period,Transit_Depth,Duration
2167444,292.9999100,37.5801390,2.43574046,6223.0,22.25
2167890,293.0936300,37.5145110,2.64830047,12668.0,2.6395
2283362,286.1107500,37.6118510,0.673141323,229.5,0.921
2284957,286.6191700,37.6262400,419.2615,287.8,21.53
2299738,290.7172500,37.6490100,1.8134378,97.4,7.776
2301068,291.0271900,37.6139110,8.60965352,63.2,2.218
2302548,291.3647800,37.6091690,10.38122447,801.5,2.715
2302548,291.3647800,37.6091690,24.5709023,764.2,3.587
2302758,291.4028900,37.6766890,0.542122617,88.3,1.283
2302997,291.4549000,37.6771200,16.2982201,199.0,2.558
2303903,291.6429400,37.6324080,3.70858595,305.4,1.94
2304320,291.7416400,37.6889380,16.54081386,370.0,2.5996
2305255,291.9645100,37.6087800,24.5714867,506.4,29.96
2305311,291.9762900,37.6686520,1.404674486,155.5,5.056
2305372,291.9903300,37.6727490,1.40469182,702439.0,6.26327
2305543,292.0268600,37.6006510,0.681137796,105189.0,2.7287
2305819,292.0804700,37.6746100,135.57186,41.2,9.94
2305866,292.0933200,37.6134800,24.1073172,104.2,10.465
2305866,292.0933200,37.6134800,115.230655,164.4,17.735
2306740,292.2698100,37.6982000,10.306982793,341790.0,11.4277
2306756,292.2737400,37.6715580,386.6030528,24926.6,6.8057
2307199,292.3747600,37.6309590,13.4471791,1428.2,3.0454
2307206,292.3761600,37.6574590,204.0329342,411374.0,17.5623
2307415,292.4210800,37.6828190,13.12162167,196.9,3.6138
2307415,292.4210800,37.6828190,4.6126736,133.2,3.0643
2308411,292.6376600,37.6418800,0.983304511,79.9,1.78
2308957,292.7518300,37.6035390,1.109841858,300713.0,8.11952
2309585,292.8993500,37.6560590,1.838514968,2721.7,2.7391
2309587,292.8997200,37.6593090,1.838514245,118965.0,3.2601
2309719,292.9308500,37.6066400,54.35635067,10510.4,6.4345
2309910,292.9715900,37.6573300,1.8437362,341.1,21.04
2310993,293.2201800,37.6106990,55.180772,474.6,9.791
2422820,286.1345800,37.7998810,13.8911152,204.9,5.062
2436378,290.1417500,37.7413670,8.531619170000001,65744.0,2.9596
2437060,290.1995200,37.7769890,3.187087241,129093.0,7.2897
2437112,290.2036100,37.7743420,18.79852,487.4,4.795
2437112,290.2036100,37.7743420,3.18740907,137.5,6.19
2437149,290.2057500,37.7691380,18.79862195,380204.0,7.4782
2437209,290.2099300,37.7259790,281.36926,12435.0,66.892
2437452,290.2261700,37.7596400,7.234965722,164848.0,7.0245
2437488,290.2291600,37.7614100,14.46993942,1235.3,7.455
2437505,290.2303200,37.7774810,21.47642727,348130.0,5.5498
2437505,290.2303200,37.7774810,17.5509742,3859.0,4.064
2437653,290.2410300,37.7852210,84.6405853,784.0,2.657
2437783,290.2519800,37.7632030,7.45306683,46552.0,4.7617
2437804,290.2535700,37.7594180,7.45301717,551.5,3.685
2437897,290.2617800,37.7871890,1.65320144,132.1,1.525
2438061,290.2770100,37.7909700,2.442941283,37338.0,4.1847
2438062,290.2770700,37.7919460,2.44295727,15298.0,4.0656
2438070,290.2777700,37.7893300,2.442945167,677.9,4.0145
2438264,290.2965100,37.7494890,15.90688891,924.7,3.9879
2438264,290.2965100,37.7494890,4.973455252,741.6,1.6519
2438406,290.3151200,37.7424510,262.71162,1449.0,7.72
2438490,290.3259600,37.7615200,3.31577795,94567.0,4.2349
2438502,290.3279100,37.7267420,8.360616221000001,28066.3,7.5385
2438513,290.3286700,37.7231100,12.18420006,499.3,2.5014
2438513,290.3286700,37.7231100,8.3606759,194.8,6.287
2438517,290.3291300,37.7638890,3.31587688,185.6,3.152
